Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Amec Foster Wheeler Environment & Infrastructure, Lethbridge, Alberta","Engineering services for final design and rehabilitation of upstream conduits, Altawan, Saskatchewan",354390,130000,130000
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for research centre rehabilitation project, Swift Current, Saskatchewan",3912988,748551,1173053
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Atlantica Mechanical Contractors Inc, Dartmouth, Nova Scotia","Heating ventilation and air conditioning systems and control systems upgrade, Kentville, Nova Scotia",2106123,1838673,2106123
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bergmann Plumbing and Heating Ltd, Morden, Manitoba","Growth chamber cooling conversion, Morden, Manitoba",840047,653337,813236
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bervin Construction Ltd, Abbotsford, British Columbia","Greenhouse cooling system, Agassiz, British Columbia",536473,5736,536473
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bouthillette Parizeau Inc, Montréal, Quebec","Architectural and engineering services for major renovations of heating and cooling networks - Phase 2, Sherbrooke, Quebec",350395,189665,189665
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bradford M Hubbard Construction Inc, Spencerville, Ontario","Building 54 envelope conservation, Ottawa, Ontario",730134,699355,699355
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bradford M Hubbard Construction Inc, Spencerville, Ontario","Shingle siding replacement, Ottawa, Ontario",366870,128650,366869
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Brighton Construction Inc, Charlottetown, Prince Edward Island","Greenhouse expansion, Harrington, Prince Edward Island",2165163,2002397,2161638
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Buckhorn Earthmoving Ltd, Maple Creek, Saskatchewan","Cypress Lake East Dam rehabilitation, Maple Creek, Saskatchewan",3129456,899630,2546103
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Can-Am Platforms & Construction Ltd, Shearstown, Newfoundland and Labrador","Lab renovations, St. John's, Newfoundland and Labrador",257940,257940,257940
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","Lab block building exterior envelope replacement, Lethbridge, Alberta",11505817,3785845,11505817
