Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Ainsworth Inc, Lachine, Quebec","Ainsworth Inc, Lachine, Québec","Building 1 transfer switch replacement, Saint-Hyacinthe, Quebec","Bâtiment 1 remplacement du commutateur, Saint-Hyacinthe, Québec",305757,32232,32232
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Ainsworth Inc, Saint-Laurent, Quebec","Ainsworth Inc, Saint-Laurent, Québec","Replacement of controls, Saint-Hyacinthe, Quebec","Remplacement des contrôles, Saint-Hyacinthe, Québec",2047534,1198320,1653415
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","All-Brite Electric Company Ltd, Saskatoon, Saskatchewan","All-Brite Electric Company Ltd, Saskatoon, Saskatchewan","Greenhouse light-emitting diode retrofit, Regina, Saskatchewan","Nouvel diode électroluminescente dans les serres, Regina, Saskatchewan",1341103,144320,1341103
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Ameresco Canada Inc, Richmond Hill, Ontario","Ameresco Canada Inc, Richmond Hill, Ontario","Harrow research and development centre energy efficiency project, Gatineau, Quebec","Centre de recherche et de développement de Harrow projet d'efficacité énergétique, Gatineau, Québec",6686126,1084772,2755821
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Architecture49 Inc, Winnipeg, Manitoba","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for research centre rehabilitation project, Swift Current, Saskatchewan","Services d'architecture et d'ingénierie pour le projet de réhabilitation du centre de recherche, Swift Current, Saskatchewan",4658659,15430,4658659
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","AECOM Canada Ltd, Winnipeg, Manitoba","AECOM Canada Ltd, Winnipeg, Manitoba","Architectural and engineering services for building 1 chiller replacement, Saskatoon, Saskatchewan","Services d'architecture et d'ingénierie pour le replacement du refroidisseur bâtiment 1, Saskatoon, Saskatchewan",322608,156910,284949
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Bervin Construction Ltd, Abbotsford, British Columbia","Bervin Construction Ltd, Abbotsford, Colombie-Britannique","Chemical storage building replacement, Agassiz, British Columbia","Remplacement des entrepôts de produits chimiques, Agassiz, Colombie-Britannique",740199,699029,740199
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Buildon Construction Ltd 9049, New Minas, Nova Scotia","Buildon Construction Ltd 9049, New Minas, Nouvelle-Écosse","Boiler replacement, Kentville, Nova Scotia","Remplacement de chaudière, Kentville, Nouvelle-Écosse",4965811,1871388,1871388
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Buildon Construction Ltd 9049, New Minas, Nova Scotia","Buildon Construction Ltd 9049, New Minas, Nouvelle-Écosse","Building 49 and 50 heating ventilation and air conditioning controls upgrade, Kentville, Nova Scotia","Bâtiments 49 et 50 mises à niveau des contrôles de chauffage ventilation et climatisation, Kentville, Nouvelle-Écosse",2000111,980451,980451
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","C&E Piling, Swift Current, Saskatchewan","C&E Piling, Swift Current, Saskatchewan","Swift Current research and development centre irrigation pump rehabilitation, Swift Current, Saskatchewan","Centre de recherche et de développement de Swift Current remise en état d'une pompe d'irrigation, Swift Current, Saskatchewan",394502,383771,383771
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Chandos Construction LP, Edmonton, Alberta","Chandos Construction LP, Edmonton, Alberta","Microbiology laboratory renovation, Lacombe, Alberta","Rénovation du laboratoire de microbiologie, Lacombe, Alberta",755333,24964,755333
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Charles-Auguste Fortier Inc, Québec, Quebec","Charles-Auguste Fortier Inc, Québec, Québec","Relocation of a parking lot, Québec, Quebec","Relocalisation d'un stationnement, Québec, Québec",678478,109276,678478
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Chriscan Construction, Saskatoon, Saskatchewan","Chriscan Construction, Saskatoon, Saskatchewan","Elevator replacement, Summerland, British Columbia","Remplacement de l'ascenseur, Summerland, Colombie-Britannique",1054802,0,1054802
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Construction Alain Morin Inc, Windsor, Ontario","Construction Alain Morin Inc, Windsor, Ontario","Arrangement of sows in groups, Sherbrooke, Quebec","Disposition des truies en groupes, Sherbrooke, Québec",283123,3155,283123
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Construction Alain Morin Inc, Windsor, Ontario","Construction Alain Morin Inc, Windsor, Ontario","Demolition of building 70 and installation of a hangar, Sherbrooke, Quebec","Démolition du bâtiment 70 et installation d'un hangar, Sherbrooke, Québec",645598,0,645598
