Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2022/2023,29,"Affaires intergouvernementales, Infrastructure et Collectivités","Intergovernmental Affairs, Infrastructure and Communities",015,"Office of the Chief Electoral Officer","Bureau du directeur général des élections","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (1 entrepreneur)",Total,Total,0,-1014,0
2022/2023,02,"Agriculture et Agroalimentaire","Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","C&E Piling, Swift Current, Saskatchewan","C&E Piling, Swift Current, Saskatchewan","Swift Current Research and Development Centre Irrigation Pump Rehabilitation, Swift Current, Saskatchewan","Centre de recherche et de développement de Swift Current remise en état d'une pompe d'irrigation, Swift Current, Saskatchewan",394502,0,394502
2022/2023,02,"Agriculture et Agroalimentaire","Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Northbrook Construction Ltd., St. John's, Newfoundland and Labrador","Northbrook Construction Ltd., Saint-Jean de Terre-Neuve, Terre-Neuve-et-Labrador","Outbuildings renovations, St. John's, Newfoundland and Labrador","Rénovations de dépendances, St John's, Terre-Neuve-et-Labrador",670919,0,670919
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Brookfield Global Integrated Solutions CA, Markham, Ontario","Brookfield Global Integrated Solutions CA, Markham, Ontario","Lester B Pearson rehabilitation of building A, Ottawa, Ontario","Rénovation du bâtiment A Lester B Pearson, Ottawa, Ontario",18313180,0,17332386
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Construction Outfitters International, Boerne, Texas","Construction Outfitters International, Boerne, Texas","Design-build and fit-up of chancery, Damascus, Syria","Conception-réalisation et aménagement de la chancellerie, Damas, Syrie",6349317,0,3261795
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Epik Taahhut Sanayi IC VE Disticaret AS, Ankara, Türkiye","Epik Taahhut Sanayi IC VE Disticaret AS, Ankara, Türkiye","Modernization of the buildings of the High Commission of Canada, Dhaka, Bangladesh","Modernisation des bâtiments du Haut-commissariat du Canada, Dhaka, Bangladesh",2512795,0,694136
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Foreign & CommonWealth Office, Buckinghamshire, United Kingdom","Foreign & CommonWealth Office, Buckinghamshire, Royaume-Uni","Security upgrade, New Delhi, India","Amélioration de la sécurité, New Delhi, Inde",671957,0,601708
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Green World Unity Construction, Kabul, Afghanistan","Green World Unity Construction, Kaboul, Afghanistan","Upgrade to staff quarters and dining hall, Kabul, Afghanistan","Amélioration des logements du personnel et de la salle à manger, Kaboul, Afghanistan",6264098,0,3506973
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kancelaria Notarialna Karolina Wolf, Warsaw, Poland","Kancelaria Notarialna Karolina Wolf, Varsovie, Pologne","Real property acquisition, Warsaw, Poland","Achat de biens immobiliers, Varsovie, Pologne",719766,0,719766
2022/2023,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kida Design Inc, Ontario, Canada","Kida Design Inc, Ontario, Canada","Construction of recreation site C, Islamabad, Pakistan","Construction du site de loisirs C, Islamabad, Pakistan",325000,0,2896
