Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Proj-desc_eng,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Accurate Contract Cleaning, Brandon, Manitoba",0,131227
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Cameron & Sons, Kelowna, British Columbia",0,153690
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Commercial Cleaning Services, St Catharines, Ontario",0,212824
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Deloitte LLP, Ottawa, Ontario",0,118243
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","DL Sanitation Inc, Victoriaville, Quebec",0,101077
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Ernst & Young LLP, Ottawa, Ontario",0,294907
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","GDI Integrated Facility Services, Montréal, Quebec",0,142292
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,126003
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Imperial Cleaners Ltd, Dartmouth, Nova Scotia",0,148636
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Maxxam Analytics Inc, Mississauga, Ontario",0,2424079
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Ontario Infrastructure and Lands Corporation, Toronto, Ontario",0,191013
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Ontario Racing Commission, Toronto, Ontario",0,237725
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Public Works and Government Services Canada, Gatineau, Quebec",0,2943349
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Racing Forensics Inc, Markham, Ontario",0,629374
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Samson & Associates, Gatineau, Quebec",0,108562
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Service payments under $100,000 (636 payees)",0,3669639
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Service Star Building Cleaning Inc, Ottawa, Ontario",0,634204
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Southern Seed Technology Ltd, Christchurch, New Zealand",0,113387
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Sprucegrove Building Cleaners, Dieppe, New Brunswick",0,119367
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Streak-Free Janitorial, Lethbridge, Alberta",0,389727
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services",,12889325,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",041,"Legal Services","Foreign Affairs Trade and Development, Ottawa, Ontario",0,113338
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",041,"Legal Services","Gowling WLG, Ottawa, Ontario",0,108718
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",041,"Legal Services","Justice Canada, Ottawa, Ontario",0,2960064
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",041,"Legal Services","Service payments under $100,000 (36 payees)",0,320815
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",041,"Legal Services",,3502935,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Amec Foster Wheeler Environment & Infrastructure, Calgary, Alberta",0,285062
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Culliton Inc, Stratford, Ontario",0,323805
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Golder Associates Ltd, Calgary, Alberta",0,307755
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Public Works and Government Services Canada, Gatineau, Quebec",0,6240928
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Service payments under $100,000 (160 payees)",0,1358111
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services",,8515661,0
