Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Rpt-obj_Art-rppt_fra,Proj-desc_eng,Proj-desc_fra,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","ARI Financial Services Inc, Mississauga, Ontario","ARI Financial Services Inc, Mississauga, Ontario",0,358942
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Axxima Inc, Toronto, Ontario","Axxima Inc, Toronto, Ontario",0,146889
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Bureau Veritas, Mississauga, Ontario","Bureau Veritas, Mississauga, Ontario",0,2388421
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Commercial Cleaning Services, St. Catharines, Ontario","Commercial Cleaning Services, St. Catharines, Ontario",0,126141
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Corner West Cleaning Services, Morden, Manitoba","Corner West Cleaning Services, Morden, Manitoba",0,106400
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Deloitte LLP, Toronto, Ontario","Deloitte S E N C R L/s r l, Toronto, Ontario",0,340000
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Department of Public Works and Government Services, Gatineau, Quebec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec",0,1203325
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","EnviroSafe Janitorial Inc, Surrey, British Columbia","EnviroSafe Janitorial Inc, Surrey, Colombie-Britannique",0,168495
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Evripos Janitorial Services Ltd, Ottawa, Ontario","Evripos Janitorial Services Ltd, Ottawa, Ontario",0,220998
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Foundation for Food and Agriculture Research, Washington, District of Columbia","Foundation for Food and Agriculture Research, Washington, District fédéral de Columbia",0,135661
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","GDI Integrated Facility Services, Montréal, Quebec","GDI Services aux immeubles, Montréal, Québec",0,242777
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,109616
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Imperial Cleaners Ltd, Dartmouth, Nova Scotia","Imperial Cleaners Ltd, Dartmouth, Nouvelle-Écosse",0,247762
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Long Van Cleaning, Windsor, Manitoba","Long Van Cleaning, Windsor, Manitoba",0,141506
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Maintenance Eureka Ltée, Thetford-Mines, Quebec","Maintenance Eureka Ltée, Thetford-Mines, Québec",0,197865
